All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
B14,GPIO75,,GPIO75,EPWM8_B,EMIF1_D9,,GPIO75,,EQEP5_B,SPID_CLK,GPIO75,MCANA_RX,CLB_OUTPUTXBAR8,,GPIO75,SD2_D3,ESC_TX1_DATA0,
A14,GPIO76,,GPIO76,EPWM9_A,EMIF1_D8,,GPIO76,,EQEP5_STROBE,SD3_C1,GPIO76,,SD4_D4,,GPIO76,SD2_C3,ESC_PHY_RESETn,
F13,GPIO77,,GPIO77,EPWM9_B,EMIF1_D7,,GPIO77,,EQEP5_INDEX,SD3_D1,GPIO77,,SD1_D4,,GPIO77,SD2_D4,ESC_RX0_CLK,
D13,GPIO79,,GPIO79,EPWM10_B,EMIF1_D5,,GPIO79,ERRORSTS,EQEP2_B,SD3_D2,GPIO79,,,,GPIO79,SD2_D1,ESC_RX0_ERR,
E12,GPIO82,,GPIO82,EPWM12_A,EMIF1_D2,,GPIO82,,,,GPIO82,,,,GPIO82,SD3_C2,ESC_RX0_DATA2,
D12,GPIO83,,GPIO83,EPWM12_B,EMIF1_D1,,GPIO83,,,,GPIO83,,,,GPIO83,SD3_D2,ESC_RX0_DATA3,
B6,GPIO88,,GPIO88,EPWM14_B,EMIF1_A15,EMIF1_DQM0,GPIO88,,,,GPIO88,EMIF1_DQM1,,,GPIO88,SD3_C4,ESC_TX0_DATA1,
C5,GPIO93,,GPIO93,EPWM17_A,,EMIF1_BA0,GPIO93,,,SD4_D3,GPIO93,,PMBUSA_ALERT,ESC_TX1_CLK,GPIO93,,CLB_OUTPUTXBAR3,SPID_CLK
D5,GPIO94,,GPIO94,EPWM17_B,,,GPIO94,,,SD4_C3,GPIO94,EMIF1_BA1,PMBUSA_CTL,ESC_TX1_ENA,GPIO94,,CLB_OUTPUTXBAR4,SPID_PTE
C1,GPIO99,,GPIO99,,EMIF1_DQM3,EPWM8_A,GPIO99,EQEP1_INDEX,,SD4_D4,GPIO99,,ESC_GPI21,,GPIO99,,EMIF1_D17,
G12,GPIO103,,GPIO103,,EMIF1_BA0,EPWM8_B,GPIO103,EQEP2_INDEX,SPIC_PTE,SD4_C4,GPIO103,,ESC_GPI3,,GPIO103,FSIRXA_D0,,
B13,GPIO104,,GPIO104,I2CA_SDA,EPWM18_A,,GPIO104,EQEP3_A,SD3_D1,,GPIO104,,ESC_GPI4,,GPIO104,FSIRXA_D1,ESC_SYNC0,
L16,GPIO105,,GPIO105,I2CA_SCL,EPWM18_B,,GPIO105,EQEP3_B,SD3_C1,,GPIO105,,ESC_GPI5,,GPIO105,FSIRXA_CLK,ESC_SYNC1,
J15,GPIO133,,GPIO133,EMIF1_A11,EPWM9_A,,GPIO133,,,SD2_C2,GPIO133,,,ESC_LED_STATE_RUN,GPIO133,,,
P6,A7/ GPIO210,,GPIO210,EQEP2_INDEX,EPWM12_B,EMIF1_D15,GPIO210,,SD4_C2,,GPIO210,,LINB_TX,OUTPUTXBAR6,GPIO210,,ESC_RX0_DATA2,PMBUSA_SCL
R6,A8/ GPIO211,,GPIO211,EQEP6_A,EPWM14_A,,GPIO211,,SD4_D3,,GPIO211,,,OUTPUTXBAR7,GPIO211,,ESC_LED_LINK0_ACTIVE,
